¹ of process;RANDOM VALUE
# of process: 0;43
# of process: 0;9
# of process: 0;16
# of process: 0;19
# of process: 0;80
# of process: 1;187
# of process: 0;50
# of process: 1;121
# of process: 0;87
# of process: 0;62
# of process: 1;196
# of process: 0;73

# of process: 1;110
# of process: 0;16
# of process: 1;120
# of process: 0;44
# of process: 1;158
# of process: 0;86
# of process: 1;146
# of process: 0;71
# of process: 0;47

# of process: 0;23
# of process: 1;127
# of process: 1;132
# of process: 0;42
# of process: 1;127
# of process: 0;25

# of process: 1;145
# of process: 0;19
# of process: 0;12
# of process: 1;107
# of process: 1;174
# of process: 1;157
# of process: 0;96
# of process: 1;126
# of process: 0;100
# of process: 1;132
# of process: 0;47
# of process: 1;170
# of process: 1;110
# of process: 1;121
# of process: 0;66
# of process: 0;93

# of process: 1;173
# of process: 0;58
# of process: 1;135
# of process: 0;27
# of process: 1;184
# of process: 0;95
# of process: 1;151
# of process: 1;104
# of process: 0;21
# of process: 0;83
# of process: 1;112
# of process: 1;176
# of process: 0;97
# of process: 1;162
# of process: 0;93

# of process: 0;43
# of process: 1;131
# of process: 1;142
# of process: 0;6
# of process: 0;33
# of process: 1;106
# of process: 1;182
# of process: 0;83
# of process: 0;94

# of process: 1;122
# of process: 1;110
# of process: 0;61
# of process: 1;133
# of process: 0;83
# of process: 1;149
# of process: 1;191
# of process: 0;57
# of process: 0;16
# of process: 1;167
# of process: 1;105
# of process: 0;21
# of process: 1;114
# of process: 0;87
# of process: 0;49
# of process: 1;110
# of process: 0;32
# of process: 1;114
# of process: 0;86
# of process: 1;120
# of process: 1;137
# of process: 0;35
# of process: 1;137
# of process: 0;87
# of process: 1;149
# of process: 0;77
# of process: 1;115
# of process: 0;55

# of process: 1;165
# of process: 0;29
# of process: 1;139
# of process: 0;51
# of process: 1;114
# of process: 0;61
# of process: 1;171
# of process: 0;61
# of process: 1;147
# of process: 0;44

# of process: 1;126
# of process: 0;17
# of process: 1;116
# of process: 0;93
# of process: 1;109
# of process: 0;33
# of process: 0;80

# of process: 1;147
# of process: 0;72
# of process: 1;155
# of process: 0;61
# of process: 0;31
# of process: 1;115
# of process: 0;27
# of process: 1;118
# of process: 0;46

# of process: 1;166
# of process: 1;196
# of process: 1;130
# of process: 0;81
# of process: 1;186
# of process: 1;171
# of process: 0;24
# of process: 1;140
# of process: 0;53
# of process: 1;173
# of process: 0;91
# of process: 1;140
# of process: 1;124
# of process: 0;54
# of process: 1;187
# of process: 0;64
# of process: 1;119
# of process: 0;31
# of process: 1;119
# of process: 0;35
# of process: 1;165
# of process: 0;56
# of process: 1;158
# of process: 0;97
# of process: 1;126
# of process: 0;69
# of process: 1;156
# of process: 0;79
# of process: 1;177
# of process: 0;70
# of process: 1;137
# of process: 0;73
# of process: 1;108
# of process: 0;43
# of process: 1;161
# of process: 0;89
# of process: 0;29
# of process: 1;131
# of process: 1;129
# of process: 0;63
# of process: 1;193
# of process: 0;10
# of process: 0;100
# of process: 1;143
# of process: 0;3
# of process: 1;108
# of process: 1;170
# of process: 0;23
# of process: 1;184
# of process: 1;132
# of process: 1;101
# of process: 1;196
# of process: 1;133
# of process: 1;112
